0:0:0:0:0:0:0:1 - - [20/May/2022:14:58:05 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:58:12 +0700] "GET /LinhWine/doi-thong-tin/9 HTTP/1.1" 200 39687
0:0:0:0:0:0:0:1 - - [20/May/2022:14:58:12 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:58:12 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:58:16 +0700] "GET /LinhWine/thong-tin-tai-khoan HTTP/1.1" 200 39497
0:0:0:0:0:0:0:1 - - [20/May/2022:14:58:16 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [20/May/2022:14:58:16 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:58:18 +0700] "GET /LinhWine/ HTTP/1.1" 200 146900
0:0:0:0:0:0:0:1 - - [20/May/2022:14:58:18 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [20/May/2022:14:58:18 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:58:20 +0700] "GET /LinhWine/thong-tin-tai-khoan HTTP/1.1" 200 39497
0:0:0:0:0:0:0:1 - - [20/May/2022:14:58:20 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [20/May/2022:14:58:20 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:59:29 +0700] "GET /LinhWine/thong-tin-tai-khoan HTTP/1.1" 302 -
